Categorie,Naam,Beschrijving,Locatie
Stad,Amsterdam. Nederland,Amsterdam is de hoofdstad van Nederland. De gemeente Amsterdam is naar inwonertal de grootste gemeente en telt 905.234 inwoners. Bron: Wikipedia (NL),Amsterdam. Netherlands
Toilet,Openbaar toilet Koningsplein,Rolstoeltoegankelijk.  Open: 24 uur per dag  Kosten: € 0.50,Koningsplein
Toilet,Openbaar toilet Noorderpark,Rolstoeltoegankelijk. Open: Alleen open als pierenbadje ook open is als het boven de 20 graden is en van mei tot en met september. Kosten: geen,Openbaar toilet bij het pierenbadje. Gerenoveerd in 2019
Toilet,Openbaar toilet Leidseplein,Rolstoeltoegankelijk.  Open: 24 uur per dag  Kosten: € 0.50,Leidseplein
Toilet,Openbaar toilet Leidse Bosje,Rolstoeltoegankelijk.  Open: 24 uur per dag  Kosten: € 0.50,Leidse Bosje
Toilet,Openbaar toilet Sarphatipark,Rolstoeltoegankelijk.  Open: 24 uur per dag  Kosten: € 0.50,Sarphatipark
Toilet,Openbaar toilet GGD Amsterdam,Rolstoeltoegankelijk. Open: Maandag t/m donderdag 9:00 - 18:00 Vrijdag 09:00 - 18:00  Kosten: geen,GGD Amsterdam
Toilet,Openbaar toilet Amsterdamse Bos. Boswinkel,Rolstoeltoegankelijk. Open: De Boswinkel is geopend op woensdag t/m zondag van 10:00 - 17:00.  Kosten: geen,
Toilet,Openbaar toilet Amsterdamse Bos. Klein kinderbad,Rolstoeltoegankelijk. Het Klein Kinderbad is vanaf mei tot en met september van 10:00 tot 19:00 uur gevuld met water bij een buitentemperatuur van boven de 20 graden en bij droog weer. Als het bad is gevuld zijn de toiletten ook open.,
Toilet,Openbaar toilet Amsterdamse Bos. Groot kinderbad,Rolstoeltoegankelijk. Het Groot Kinderbad is vanaf mei tot en met september van 10:00 tot 19:00 uur gevuld met water bij een buitentemperatuur van boven de 20 graden en bij droog weer. Als het bad is gevuld zijn de toiletten ook open.,
Toilet,Openbaar toilet Sloterdijk,Rolstoeltoegankelijk. Open: 24 uur per dag  Kosten: geen,
Tramhalte,Tramhalte Nieuwezijds Kolk,Lijn 2 | 12 | 13 | 17,Nieuwezijds Kolk
Tramhalte,Tramhalte Surinameplein / Curaçaostraat,Lijn 1 | 17,Surinameplein / Curaçaostraat
Tramhalte,Tramhalte Johan Huizingalaan,Lijn 1 | 17,Johan Huizingalaan
Tramhalte,Tramhalte Prinsengracht,Lijn 2 | 12 ,Prinsengracht
Tramhalte,Tramhalte Keizergracht,Lijn 2 | 12,Keizergracht
Tramhalte,Tramhalte Koningsplein,Lijn 2 | 12,Koningsplein
Tramhalte,Tramhalte Matterhorn,Lijn 1,Matterhorn
Tramhalte,Tramhalte Pilatus,Lijn 1,Pilatus
Tramhalte,Tramhalte Inarisstraat,Lijn 1,Inarisstraat
Tramhalte,Tramhalte Baden Powellweg,Lijn 1,Baden Powellweg
Tramhalte,Tramhalte Hoekenes,Lijn 1,Hoekenes
Tramhalte,Tramhalte Louis Davidsstraat,Lijn 1,Louis Davidsstraat
Tramhalte,Tramhalte Eerste Constantijn Huygensstraat / Overtoom,Lijn 1 | 3,Eerste Constantijn Huygensstraat / Overtoom
Tramhalte,Tramhalte Rhijnvis Feithstraat,Lijn 1,Rhijnvis Feithstraat
Tramhalte,Tramhalte Kruislaan,Lijn 19,Kruislaan
Tramhalte,Tramhalte Brinkstraat,Lijn 19,Brinkstraat
Tramhalte,Tramhalte Arent Krijtstraat,Lijn 19,Arent Krijtstraat
Tramhalte,Tramhalte Diemerbrug,Lijn 19,Diemerbrug
Tramhalte,Tramhalte Diemen Sniep,Lijn 19,Diemen Sniep
Tramhalte,Tramhalte Dapperstraat,Lijn 1 | 3,Dapperstraat
Tramhalte,Tramhalte Meer en Vaart,Lijn 1 | 17,Meer en Vaart
Tramhalte,Tramhalte Derkinderenstraat,Lijn 1 | 17,Derkinderenstraat
Tramhalte,Tramhalte Corantijnstraat,Lijn 17,Corantijnstraat
Tramhalte,Tramhalte Postjesweg / Hoofdweg,Lijn 7 | 17,Postjesweg / Hoofdweg
Tramhalte,Tramhalte Ten Katestraat,Lijn 7 | 17,Ten Katestraat
Tramhalte,Tramhalte Kinkerstraat / Bilderdijkstraat,Lijn 3 | 7 | 17,Kinkerstraat / Bilderdijkstraat
Tramhalte,Tramhalte Leidseplein,Lijn 1 | 2 | 5 | 7 | 12 | 19,Leidseplein
Tramhalte,Tramhalte Ecuplein,Lijn 1,Ecuplein
Tramhalte,Tramhalte J.P. Heijestraat,Lijn 1,J.P. Heijestraat
Tramhalte,Tramhalte Van Hallstraat,Lijn 3,Van Hallstraat
Tramhalte,Tramhalte Nieuwe Willemsstraat,Lijn 5,Nieuwe Willemsstraat
Tramhalte,Tramhalte Azartplein,Lijn 7,Azartplein
Tramhalte,Tramhalte Plein `40-`45,Lijn 7,Plein `40-`45
Tramhalte,Tramhalte Van Limburg Stirumstraat,Lijn 3,Van Limburg Stirumstraat
Tramhalte,Tramhalte Eerste Coehoornstraat,Lijn 7,Eerste Coehoornstraat
Tramhalte,Tramhalte C. van Eesterenlaan,Lijn 7,C. van Eesterenlaan
Tramhalte,Tramhalte K. `s-Gravesandestraat,Lijn 1 | 7 | 19,K. `s-Gravesandestraat
Tramhalte,Tramhalte Vijzelgracht /Weteringcircuit,Lijn 1 | 7 | 19 | 24 | 52,Vijzelgracht /Weteringcircuit
Tramhalte,Tramhalte Spiegelgracht,Lijn 1 | 7 | 19,Spiegelgracht
Tramhalte,Tramhalte Haarlemmerplein,Lijn _,Haarlemmerplein
Tramhalte,Tramhalte De Wittenkade,Lijn 3,De Wittenkade
Tramhalte,Tramhalte Nassaukade,Lijn 3,Nassaukade
Tramhalte,Tramhalte Alexanderplein,Lijn 7 | 14 | 19,Alexanderplein
Tramhalte,Tramhalte Hoogte Kadijk,Lijn 7,Hoogte Kadijk
Tramhalte,Tramhalte Eerste Leeghwaterstraat,Lijn 7,Eerste Leeghwaterstraat
Tramhalte,Tramhalte Rietlandpark,Lijn 7 | 26,Rietlandpark
Tramhalte,Tramhalte Willem de Zwijerlaan,Lijn 13 | 19,Willem de Zwijerlaan
Tramhalte,Tramhalte De Pijp,Lijn 3 | 12 | 24 | 52,De Pijp
Tramhalte,Tramhalte Wiltzanghlaan,Lijn 19,Wiltzanghlaan
Tramhalte,Tramhalte Molenwerf,Lijn 19,Molenwerf
Tramhalte,Tramhalte Scheldestraat,Lijn 12,Scheldestraat
Tramhalte,Tramhalte Europaplein,Lijn 4 | 52,Europaplein
Tramhalte,Tramhalte Waalstraat,Lijn 4,Waalstraat
Tramhalte,Tramhalte Maasstraat,Lijn 4,Maasstraat
Tramhalte,Tramhalte Dintelstraat,Lijn 4,Dintelstraat
Tramhalte,Tramhalte Amstelveen Stadshart,Lijn 5,Amstelveen Stadshart
Tramhalte,Tramhalte Marco Polostraat,Lijn 13,Marco Polostraat
Tramhalte,Tramhalte Jan van Galenstraat,Lijn 19,Jan van Galenstraat
Tramhalte,Tramhalte Rozengracht / Marnixstraat,Lijn 5 | 13 | 17 | 19,Rozengracht / Marnixstraat
Tramhalte,Tramhalte Roelof Hartplein,Lijn 3 | 5 | 12 | 24,Roelof Hartplein
Tramhalte,Tramhalte Bos en Lommerweg,Lijn 19,Bos en Lommerweg
Tramhalte,Tramhalte Maasstraat,Lijn 12,Maasstraat
Tramhalte,Tramhalte Waalstraat,Lijn 12,Waalstraat
Tramhalte,Tramhalte Cornelis Troostplein,Lijn 12,Cornelis Troostplein
Tramhalte,Tramhalte Dam / Paleisstraat,Lijn 2 | 12 | 13 | 17,Dam / Paleisstraat
Tramhalte,Tramhalte Burg. Van Leeuwenlaan,Lijn 13,Burg. Van Leeuwenlaan
Tramhalte,Tramhalte Burg. Fockstraat,Lijn 7,Burg. Fockstraat
Tramhalte,Tramhalte Burg.Eliasstraat,Lijn 7,Burg.Eliasstraat
Tramhalte,Tramhalte Burg. Rendorpstraat,Lijn 13,Burg. Rendorpstraat
Tramhalte,Tramhalte Admiraal Helfrichstraat,Lijn 13,Admiraal Helfrichstraat
Tramhalte,Tramhalte Dr. H. Colijnstraat,Lijn 13,Dr. H. Colijnstraat
Tramhalte,Tramhalte Lambertus Zijlplein,Lijn 13,Lambertus Zijlplein
Tramhalte,Tramhalte Mercatorplein,Lijn 7 | 13,Mercatorplein
Tramhalte,Tramhalte Jan Voermanstraat,Lijn 13,Jan Voermanstraat
Tramhalte,Tramhalte Sloterpark,Lijn 7,Sloterpark
Tramhalte,Tramhalte Rembrandtplein,Lijn 4 | 14,Rembrandtplein
Tramhalte,Tramhalte Artis,Lijn 14,Artis
Tramhalte,Tramhalte Burg. Röellstraat / Slotermerlaan,Lijn 7 | 13,Burg. Röellstraat / Slotermerlaan
Tramhalte,Tramhalte Flevopark,Lijn 3 | 14,Flevopark
Tramhalte,Tramhalte Mr. Visserplein,Lijn 14,Mr. Visserplein
Tramhalte,Tramhalte Eerste Van Swindenstraat,Lijn 19,Eerste Van Swindenstraat
Tramhalte,Tramhalte Linnaeusstraat / Wijttenbachstraat,Lijn 1 | 3 | 19,Linnaeusstraat / Wijttenbachstraat
Tramhalte,Tramhalte Insulindeweg,Lijn 3 | 14,Insulindeweg
Tramhalte,Tramhalte Jan Tooropstraat,Lijn 13,Jan Tooropstraat
Tramhalte,Tramhalte Bos en Lommerplein,Lijn 7,Bos en Lommerplein
Tramhalte,Tramhalte Soembawastraat,Lijn 3 | 14,Soembawastraat
Tramhalte,Tramhalte Molukkenstraat,Lijn 3 | 14,Molukkenstraat
Tramhalte,Tramhalte Hogeweg,Lijn 19,Hogeweg
Tramhalte,Tramhalte Hugo de Vrieslaan,Lijn 19,Hugo de Vrieslaan
Tramhalte,Tramhalte Pontanusstraat,Lijn 14,Pontanusstraat
Tramhalte,Tramhalte Zeeburgerdijk,Lijn 14,Zeeburgerdijk
Tramhalte,Tramhalte Javaplein,Lijn 14,Javaplein
Tramhalte,Tramhalte Dam,Lijn 4 | 14 | 24,Dam
Tramhalte,Tramhalte Rokin,Lijn 4 | 14 | 24 | 52,Rokin
Tramhalte,Tramhalte Marie Heinekenplein,Lijn 24,Marie Heinekenplein
Tramhalte,Tramhalte IJsbaanpad,Lijn 24,IJsbaanpad
Tramhalte,Tramhalte Museumplein,Lijn 3 | 5 | 12,Museumplein
Tramhalte,Tramhalte Dijkgraafplein,Lijn 17,Dijkgraafplein
Tramhalte,Tramhalte Baden Powellweg,Lijn 17,Baden Powellweg
Tramhalte,Tramhalte Hoekenes,Lijn 17,Hoekenes
Tramhalte,Tramhalte Osdorpplein West,Lijn 17,Osdorpplein West
Tramhalte,Tramhalte Osdorpplein Oost,Lijn 17,Osdorpplein Oost
Tramhalte,Tramhalte Elandsgracht,Lijn 5 | 7 | 17 | 19,Elandsgracht
Tramhalte,Tramhalte De Clercqstraat / Bilderdijkstraat,Lijn 3 | 13 | 19,De Clercqstraat / Bilderdijkstraat
Tramhalte,Tramhalte Amstelveenseweg,Lijn 2,Amstelveenseweg
Tramhalte,Tramhalte Westlandgracht,Lijn 2,Westlandgracht
Tramhalte,Tramhalte Laan van Vlaanderen,Lijn 2,Laan van Vlaanderen
Tramhalte,Tramhalte Centrum Nieuw Sloten,Lijn 2,Centrum Nieuw Sloten
Tramhalte,Tramhalte Oudenaardeplantsoen,Lijn 2,Oudenaardeplantsoen
Tramhalte,Tramhalte Cornelis Schuytstraat,Lijn 2,Cornelis Schuytstraat
Tramhalte,Tramhalte Valeriusplein,Lijn 2,Valeriusplein
Tramhalte,Tramhalte Delflandlaan,Lijn 2,Delflandlaan
Tramhalte,Tramhalte Louwesweg,Lijn 2,Louwesweg
